Sample_ID,Sentrix_ID,Sentrix_Position
7558610054_R05C01,7558610054,R05C01
7558610054_R07C01,7558610054,R07C01
7558610059_R01C01,7558610059,R01C01
7558610059_R06C01,7558610059,R06C01
7558610059_R07C01,7558610059,R07C01
7558610077_R02C01,7558610077,R02C01
